TriadID	A	B	D	Region
T000001	1.72	0.06	0.32	M100
T000002	1.72	0.3	0	M100
T000003	1.72	0.3	0	M100
T000004	1.72	0.3	0	M100
T000005	1.72	0.3	0	M100
T000006	1.72	0.3	0	M100
T000007	1.72	0.3	0	M100
T000008	1.72	0.3	0	M100
T000009	1.72	0.3	0	M100
T000010	1.72	0.51	2.1	M101
T000012	1.72	0.3	0	M100
T000013	1.72	0.3	0	M100
T000014	1.72	0.3	0	M100
T000015	1.72	0.3	0	M100
T000016	1.72	0.3	0	M100
T000017	1.72	0.3	0	M100
T000020	1.72	0.3	0	M100
T000022	1.68	1.95	0	M110
T000023	1.68	0.53	0	M100
T000025	1.66	0.53	0	M100
T000027	1.66	0.53	2.38	M101
T000028	1.66	0.53	2.38	M101
T000029	1.66	0.53	2.38	M101
T000030	1.66	0.53	2.38	M101
T000031	1.58	0.09	2.38	M101
T000032	1.58	0.2	2.38	M101
T000033	1.58	0.2	2.38	M101
T000034	1.58	0.2	2.38	M101
T000035	1.58	0.53	2.38	M101
T000036	1.58	0.2	2.38	M101
T000037	1.58	0	2.38	M101
T000038	1.58	0.2	2.27	M101
T000039	1.74	0.19	0.19	M100
T000041	1.74	0.2	2.27	M101
T000042	1.74	0.2	2.27	M101
T000043	1.74	0.2	2.27	M101
T000045	1.74	0	2.27	M101
T000046	1.74	0	2.27	M101
T000047	1.74	0	2.27	M101
T000048	1.74	0	2.27	M101
T000049	1.74	0	2.36	M101
T000050	1.83	0	2.36	M101
T000051	1.83	0	2.36	M101
T000052	1.83	0	2.36	M101
T000055	2.25	0	5.17	M101
T000056	2.25	0	5.17	M101
T000057	2.25	0	5.17	M101
T000058	2.25	2.61	2.6	M111
T000059	1.94	2.61	2.6	M111
T000060	1.94	2.61	2.6	M111
T000061	1.94	2.61	2.6	M111
T000062	1.94	2.61	2.6	M111
T000063	1.94	2.61	2.6	M111
T000065	1.94	2.61	2.6	M111
T000066	1.94	2.61	2.6	M111
T000068	1.94	0.22	2.6	M101
T000069	1.94	2.19	2.6	M111
T000070	1.48	1.95	2.41	M111
T000071	1.48	1.95	2.41	M111
T000072	1.48	1.95	2.41	M111
T000073	1.48	1.95	2.41	M111
T000074	1.43	1.95	2.41	M111
T000076	1.43	1.95	1.88	M111
T000078	1.43	1.95	1.88	M111
T000080	1.43	1.53	1.88	M111
T000081	1.43	1.53	1.79	M111
T000082	1.43	1.53	1.79	M111
T000083	1.43	1.37	1.79	M111
T000084	1.1	1.28	1.69	M111
T000085	1.1	1.28	1.69	M111
T000086	1.1	1.28	1.65	M111
T000087	1.23	1.24	1.65	M111
T000088	1.23	0.18	1.65	M101
T000089	1.23	0.33	0.96	M101
T000091	1.22	0.33	0.96	M101
T000092	1.22	0.26	0.66	M101
T000093	1.22	0.26	0.66	M101
T000094	1.22	0.26	0.66	M101
T000095	1.09	0.28	0.66	M101
T000096	1.09	0.28	0.66	M101
T000097	0.97	0.32	0.66	M101
T000098	0.97	0.32	0.66	M101
T000099	0.97	0.32	0.66	M101
T000100	0.97	0.32	0.66	M101
T000101	0.97	0.28	0.66	M101
T000102	0.97	0.28	0.66	M101
T000104	0.97	0.31	0.66	M101
T000106	0.97	0.31	0.66	M101
T000107	0.97	0.31	0.66	M101
T000108	0.97	0.31	0.66	M101
T000109	0.82	0.31	0.66	M111
T000110	0.82	0.31	0.66	M111
T000111	0.82	0.31	0.66	M111
T000114	0.77	0.23	0.72	M101
T000115	0.77	0.23	0.72	M101
T000116	0.77	0.23	0.72	M101
T000118	0.77	0.23	0.72	M101
T000119	0.77	0.18	0.72	M101
T000120	0.77	2.19	2.41	M011
T000121	0.77	2.19	2.6	M011
T000123	0.77	2.19	2.6	M011
T000124	0.85	0.28	0.75	M101
T000126	0.85	0.28	0.75	M101
T000127	0.85	0.24	0.78	M101
T000128	0.85	0.13	0.78	M101
T000129	0.85	0.13	0.78	M101
T000130	0.85	0.41	0.78	M111
T000131	0.85	0.41	0.78	M111
T000132	0.85	0.13	0.78	M101
T000133	1	0.41	0.78	M111
T000134	1	0.41	0.78	M111
T000135	1	0.41	0.77	M111
T000137	0	0.41	0.74	M011
T000138	0	0.41	0.74	M011
T000139	0	0.4	0.74	M011
T000140	0	0.4	0.74	M011
T000141	0	0.4	0.77	M011
T000143	0	0.41	0.77	M011
T000144	0	0.41	0.77	M011
T000145	0.41	0.41	0.77	M111
T000146	0.41	0.41	0.77	M111
T000147	0.41	0.04	1.11	M101
T000148	0.41	0.04	1.11	M101
T000149	0.45	0.03	1.42	M001
T000150	0.45	0.03	1.42	M001
T000151	0.45	0.03	1.42	M001
T000152	0.45	0.05	1.42	M001
T000154	0.52	0.12	1.04	M101
T000155	0.52	0.12	1.04	M101
T000156	0.52	0.11	1.04	M101
T000158	0.52	0.11	1.04	M101
T000159	0.52	0.11	1.04	M101
T000161	0.59	0.19	0.8	M101
T000162	0.59	0.17	0.72	M101
T000163	0.8	0.41	0.74	M111
T000164	0.8	0.18	0.66	M101
T000165	0.8	0.18	0.66	M101
T000166	0.8	0.18	0.13	M100
T000167	0.8	0.18	0.18	M100
T000168	0.8	0.18	0.18	M100
T000169	0.8	0.17	0.18	M100
T000171	0.8	0.17	0.18	M100
T000172	0.8	0.17	0.18	M100
T000173	0.8	0.22	0.18	M110
T000174	0.8	0.22	0.18	M110
T000175	0.8	0.22	0.18	M110
T000176	0.8	0.22	0.18	M110
T000177	0.8	0.27	0	M110
T000178	0.8	0.27	0.18	M110
T000179	0.8	0.24	0.16	M110
T000180	0.8	0.24	0.16	M110
T000181	0.8	0.24	0.16	M110
T000182	0.8	0.24	0.16	M110
T000183	0.8	0.24	0.16	M110
T000184	0.8	0.24	0.16	M110
T000185	0.8	0.24	0.13	M110
T000186	0.8	0.24	0.13	M110
T000187	0.8	0.18	0.13	M100
T000188	0.8	0.18	0.13	M100
T000190	0.8	0.18	0.13	M100
T000191	0.8	0.18	0.13	M100
T000192	1	0.19	0.16	M100
T000193	1.39	0.19	0.16	M100
T000194	1.39	0.13	0.16	M100
T000195	1.39	0.21	0.19	M100
T000197	0	0.21	0.19	M011
T000198	0	0.21	0.19	M011
T000199	0	0.21	0.19	M011
T000200	0	0.25	0.19	M011
T000201	0	0	0.19	M001
T000202	0	0.25	0.23	M011
T000204	0	0.3	0.23	M011
T000205	0	0.3	0.23	M011
T000206	0	0.3	0.23	M011
T000207	0	0.3	0.23	M011
T000208	0	0.3	0.23	M011
T000209	0	0.39	0.23	M011
T000210	0	0.39	0.22	M011
T000212	0	0.39	0.22	M011
T000213	0	0	0	M000
T000214	0	0	0.98	M001
T000215	0	0	0	M000
T000216	0.13	0	0	M100
T000217	0.47	0	0.17	M101
T000218	0.47	0	0.16	M101
T000220	0.4	0	0.16	M101
T000221	0.4	0	0.16	M101
T000223	0.36	0	0.15	M101
T000224	0.36	0	0.15	M101
T000226	0.36	0	0.15	M101
T000228	0.35	0	0.15	M101
T000229	0.35	0	0.15	M101
T000230	0.35	0	0.15	M101
T000231	0.35	0	0.15	M101
T000232	0.35	0	0.32	M101
T000233	0.35	0	0.32	M101
T000236	0.36	0	0.32	M101
T000237	0.36	0	0.32	M101
T000238	0.36	0	0.32	M101
T000239	0.36	0	0.32	M101
T000240	0.36	0	0.32	M101
T000241	0.36	0	0.32	M101
T000242	0.36	0	0.32	M101
T000243	0.36	0	0.32	M101
T000244	0.36	0	0.32	M101
T000245	0.36	0	0.32	M101
T000247	0.36	0	0.32	M101
T000248	0.57	0	0	M100
T000249	0.57	0.06	0.32	M101
T000250	0.57	0.06	0.32	M101
T000251	0.59	0.08	0.32	M101
T000252	0.59	0.08	0.32	M101
T000253	0.59	0.13	0.32	M101
T000254	0.59	0.13	0.32	M101
T000256	0.59	0.13	0.32	M101
T000257	0.59	0.13	0.32	M101
T000258	0.44	0.13	0.08	M110
T000259	0.44	0.13	0.08	M110
T000260	0.44	0.13	0.08	M110
T000261	0.44	0.15	0.08	M110
T000263	0.32	0.2	0	M110
T000264	0.32	0.2	0	M110
T000265	0.32	0.33	0	M110
T000268	0.35	0.33	0	M110
T000269	0.35	0.33	0	M110
T000270	0.35	0.33	0	M110
T000271	0.35	0.33	0	M110
T000272	0.35	0.33	0	M110
T000273	0.35	0.33	0	M110
T000275	0.35	0.33	0	M110
T000276	0.32	0.33	0	M110
T000278	0.32	0.33	0	M110
T000279	0.32	0.78	0	M110
T000280	0.32	0.78	0	M110
T000281	0.32	0.78	0	M110
T000282	0.32	0	0	M100
T000283	0.32	0	0	M100
T000284	0.32	0	0	M100
T000285	0.32	0	0	M100
T000286	0.22	0	0	M100
T000287	0.22	0	0	M100
T000288	0.18	0	0	M100
T000289	0.18	0	0	M100
T000290	0.18	0	0	M100
T000291	0.18	0	0	M100
T000292	0.18	0	0	M100
T000293	0.18	0	0	M100
T000294	0.18	0	0	M100
T000295	0.18	0	0	M100
T000296	0.15	0	0	M100
T000297	0.15	0	0	M100
T000298	0.15	0	0	M100
T000299	0.15	0	0	M100
T000300	0.15	0	0	M100
T000301	0.15	0	0	M100
T000302	0.13	0	0	M100
T000303	0.13	0	0	M100
T000304	0.13	0	0	M100
T000306	0.13	0	0	M100
T000307	0.07	0	0	M100
T000308	0.07	0	0	M100
T000309	0.07	0	0	M100
T000310	0.07	0	0	M100
T000311	0.08	0	0	M100
T000312	0.08	0	0	M100
T000313	0.08	0	0	M100
T000314	0.08	0	0	M100
T000315	0.08	0	0	M100
T000316	0.08	0	0	M100
T000317	0.06	0	0	M100
T000318	0.06	0	0	M100
T000319	0.04	0	0	M100
T000320	0.04	0	0	M100
T000321	0.04	0	0	M100
T000322	0.03	0	0	M100
T000323	0.03	0	0	M100
T000324	0.03	0	0	M100
T000325	0.03	0	0	M100
T000326	0	0	0	M000
T000327	0	0	0	M000
T000328	0	0	0	M000
T000329	0	0	0	M000
T000330	0	0	0	M000
T000331	0	0	0	M000
T000332	0	0	0	M000
T000333	0	0	0	M000
T000334	0	0	0	M000
T000336	0.07	0	0	M100
T000337	0.08	0	0	M100
T000338	0.08	0	0	M100
T000339	0.08	0	0	M100
T000340	0.08	0	0	M100
T000341	0.08	0	0	M100
T000343	0.08	0	0	M100
T000344	0.12	0	0	M100
T000345	0.08	0	0	M100
T000346	0.08	0	0	M100
T000347	0.08	0	0	M100
T000348	0.08	0	0	M100
T000349	0.09	0	0	M100
T000350	0.09	0	0	M100
T000351	0.09	0	0	M100
T000352	0	0.12	0.17	M011
T000353	0	0.12	0.17	M011
T000354	0	0.12	0.09	M011
T000355	0	0.12	0.09	M011
T000356	0	0.12	0.09	M011
T000357	0	0.08	0.09	M011
T000358	0	0.08	0.09	M011
T000359	0	0.08	0.09	M011
T000360	0	0.08	0.09	M011
T000361	0	0.08	0.09	M011
T000363	0	0.06	0.09	M011
T000364	0.15	0.06	0.09	M111
T000365	0.13	0.06	0.09	M111
T000366	0.13	0.06	0.09	M111
T000367	0.13	0.04	0.07	M101
T000368	0.13	0.04	0.07	M101
T000370	0.16	0.04	0	M100
T000371	0.16	0.04	0	M100
T000372	0.16	0.04	0	M100
T000373	0.15	0.04	0	M100
T000375	0.15	0.04	0	M100
T000376	0.13	0.04	0	M100
T000377	0.13	0.04	0	M100
T000379	0.18	0.04	0	M100
T000380	0.15	0.04	0	M100
T000381	0.15	0.04	0	M100
T000382	0.15	0.04	0	M100
T000383	0.15	0.04	0	M100
T000384	0.15	0.03	0	M100
T000385	0.15	0.03	0	M100
T000386	0.15	0.03	0	M100
T000387	0.15	0.03	0	M100
T000388	0.15	0.03	0	M100
T000389	0.15	0.03	0	M100
T000390	0.15	0.03	0	M100
T000391	0.15	0.03	0	M100
T000392	0.15	0.03	0	M100
T000393	0.15	0.03	0	M100
T000394	0	0.04	0	M010
T000395	0	0.04	0	M010
T000396	0	0.04	0	M010
T000398	0	0.04	0	M010
T000399	0	0.05	0	M010
T000400	0	0.05	0	M010
T000401	0	0.05	0	M010
T000402	0	0.05	0	M010
T000403	0	0.06	0	M010
T000404	0	0.06	0	M010
T000405	0	0.04	0	M010
T000406	0	0.04	0	M010
T000407	0	0.04	0	M010
T000408	0	0	0	M000
T000409	0	0	0	M000
T000410	0	0	0	M000
T000411	0	0	0	M000
T000412	0	0	0	M000
T000413	0	0	0	M000
T000414	0	0	0	M000
T000415	0	0	0	M000
T000417	0	0	0	M000
T000418	0	0	0	M000
T000419	0	0	0	M000
T000420	0	0	0.27	M001
T000421	0	0	0.27	M001
T000422	0	0	0.27	M001
T000423	0	0	0.27	M001
T000424	0	0	0.27	M001
T000425	0	0	0.27	M001
T000426	0	0	0.27	M001
T000427	0	0.03	0.27	M001
T000429	0	1.99	1.21	M011
T000430	0	0.03	0.27	M001
T000431	0	0.03	0.27	M001
T000432	0	0.12	0.27	M011
T000433	0	0.12	0.27	M011
T000434	0	0.12	0.17	M011
T000437	0	0.12	0.17	M011
T000439	0	0	0	M000
T000440	0	0	0	M000
T000441	0	0	0	M000
T000442	0	0.03	0	M010
T000443	0	0.03	0	M010
T000444	0	0.03	0	M010
T000445	0	0.03	0	M010
T000446	0	0.04	0	M010
T000447	0	0.04	0	M010
T000448	0	0.04	0	M010
T000449	0	0.04	0	M010
T000450	0	0.04	0	M010
T000451	0	0.04	0	M010
T000452	0	0.04	0	M010
T000453	0	0.04	0	M010
T000454	0	0.04	0	M010
T000455	0	0.04	0	M010
T000456	0	0.04	0	M010
T000457	0	0.03	0	M010
T000458	0.03	0	0	M100
T000459	0.03	0	0	M100
T000460	0.02	0	0	M100
T000461	0.02	0	0	M100
T000462	0.02	0	0	M100
T000463	0.02	0	0	M100
T000464	0.02	0	0	M100
T000465	0.02	0	0	M100
T000466	0.02	0	0	M100
T000467	0.02	0	0	M100
T000469	0.02	0	0	M100
T000472	0.02	0	0	M100
T000473	0.02	0.03	0	M110
T000474	0.02	0.03	0	M110
T000476	0.01	0.03	0	M110
T000477	0.01	0.03	0	M110
T000478	0.02	0	0	M100
T000479	0.02	0	0	M100
T000480	0.02	0	0	M100
T000481	0.02	0	0	M100
T000482	0.02	0	0	M100
T000483	0.02	0	0	M100
T000484	0.02	0	0	M100
T000486	0.02	0	0	M100
T000487	0.02	0	0	M100
T000488	0.02	0	0	M100
T000489	0.02	0	0	M100
T000490	0.02	0	0	M100
T000492	0.02	0.05	0	M110
T000493	0.02	0.05	0	M110
T000494	0.02	0.05	0	M110
T000495	0	0.05	0	M010
T000496	0	0.04	0	M010
T000497	0	0.04	0	M010
T000498	0	0.05	0	M010
T000499	0	0.05	0	M010
T000500	0	0.05	0	M010
T000501	0	0.04	0	M010
T000502	0	0.04	0	M010
T000503	0	0.04	0	M010
T000504	0	0.04	0	M010
T000505	0	0.04	0	M010
T000506	0	0.04	0	M010
T000507	0	0.04	0	M010
T000508	0	0.04	0	M010
T000509	0	0.04	0	M010
T000510	0	0.04	0.04	M011
T000511	0	0.04	0.05	M011
T000512	0	0.04	0.05	M011
T000513	0	0.04	0.05	M011
T000514	0	0.04	0.05	M011
T000516	0	0.05	0.05	M011
T000517	0	0.05	0.05	M011
T000518	0	0.05	0.05	M011
T000519	0	0.05	0.05	M011
T000520	0	0.05	0.05	M011
T000521	0	0.04	0.05	M011
T000522	0	0.04	0.05	M011
T000523	0	0	0.05	M001
T000524	0	0	0	M000
T000525	0	0	0	M000
T000526	0	0	0	M000
T000527	0	0	0	M000
T000528	0	0	0	M000
T000529	0	0	0	M000
T000530	0	0	0	M000
T000531	0	0	0	M000
T000532	0	0	0	M000
T000533	0	0	0	M000
T000534	0	0	0	M000
T000535	0	0	0	M000
T000536	0	0	0	M000
T000537	0	0	0	M000
T000538	0	0	0	M000
T000539	0	0	0	M000
T000540	0	0	0	M000
T000541	0	0	0	M000
T000542	0	0	0	M000
T000543	0	0	0	M000
T000544	0	0	0	M000
T000545	0	0	0	M000
T000546	0	0	0	M000
T000548	0	0	0	M000
T000550	0	0	0	M000
T000551	0	0	0	M000
T000552	0	0	0	M000
T000553	0	0	0	M000
T000554	0	0	0	M000
T000555	0	0	0	M000
T000556	0	0	0	M000
T000557	0	0	0	M000
T000558	0	0.01	0	M010
T000559	0	0.01	0	M010
T000560	0	0	0	M000
T000562	0	0	0	M000
T000563	0	0	0	M000
T000566	0	0	0	M000
T000567	0	0	0	M000
T000568	0	0.01	0	M010
T000569	0	0	0	M000
T000570	0	0.02	0	M010
T000571	0	0.01	0	M010
T000572	0	0.01	0	M010
T000573	0	0.02	0	M010
T000574	0	0.01	0	M010
T000575	0	0.02	0	M010
T000576	0	0.02	0	M010
T000577	0	0.02	0	M010
T000578	0	0.02	0	M010
T000579	0	0.02	0	M010
T000580	0	0.02	0	M010
T000581	0	0.02	0	M010
T000582	0	0.01	0	M010
T000583	0	0	0	M000
T000584	0	0	0	M000
T000585	0	0	0	M000
T000586	0	0	0	M000
T000587	0	0	0	M000
T000588	0	0	0	M000
T000589	0	0	0	M000
T000590	0	0	0	M000
T000592	0	0	0	M000
T000593	0	0	0	M000
T000594	0	0	0	M000
T000595	0	0	0	M000
T000596	0	0	0	M000
T000597	0	0	0	M000
T000598	0	0	0	M000
T000599	0	0	0	M000
T000600	0	0	0	M000
