TriadID	loadAABB	loadAABBDD	recombinationAABB	recombinationAABBDD
T000002	0.463060698	0.347539509	1.01	0.673333333
T000003	0.360360784	0.240240523	1.01	0.673333333
T000004	0.544877904	0.593888931	1.01	0.673333333
T000005	1.45465772	0.969771813	1.01	0.673333333
T000006	0.531675838	0.548681751	1.01	0.673333333
T000007	0.153932872	0.12438691	1.01	0.673333333
T000008	0.221632105	0.272637911	1.01	0.673333333
T000010	0.219603564	0.168744788	1.115	1.443333333
T000012	1.277378262	0.851585508	1.01	0.673333333
T000013	0.583593489	0.536733879	1.01	0.673333333
T000014	0.244630162	0.249424971	1.01	0.673333333
T000015	0.284421372	0.345793259	1.01	0.673333333
T000017	1.759716633	2.070861546	1.01	0.673333333
T000020	0.409982562	0.435650775	1.01	0.673333333
T000023	1.64834108	1.658394832	1.105	0.736666667
T000025	1.03833615	1.139027183	1.095	0.73
T000028	1.588664674	1.554857419	1.095	1.523333333
T000029	0.263003675	0.205422267	1.095	1.523333333
T000032	0.594807601	0.588228124	0.89	1.386666667
T000033	0.529200025	0.600760923	0.89	1.386666667
T000034	0.982414409	0.654942939	0.89	1.386666667
T000035	0.664844501	0.884823649	1.055	1.496666667
T000037	0.567998063	0.778690759	0.79	1.32
T000041	0.918140225	0.612950817	0.97	1.403333333
T000042	2.13978195	1.752987342	0.97	1.403333333
T000045	0.738794416	0.644158731	0.87	1.336666667
T000046	0.280142513	0.36524907	0.87	1.336666667
T000047	0	0	0.87	1.336666667
T000048	0.603636113	0.751986333	0.87	1.336666667
T000050	2.798092419	2.880193618	0.915	1.396666667
T000051	1.742091022	1.37312118	0.915	1.396666667
T000052	0.357510561	0.483401845	0.915	1.396666667
T000055	1.72468015	1.151383192	1.125	2.473333333
T000056	0.286451967	0.353920869	1.125	2.473333333
T000057	0.223946621	0.149819102	1.125	2.473333333
T000058	0.314804812	0.209869875	2.43	2.486666667
T000059	1.615909539	2.100483741	2.275	2.383333333
T000060	0.406848928	0.369892951	2.275	2.383333333
T000061	0.022124676	0.014749784	2.275	2.383333333
T000062	0.797535611	0.643299169	2.275	2.383333333
T000063	0.517433092	0.536770632	2.275	2.383333333
T000065	0.777726309	0.764500333	2.275	2.383333333
T000066	0.027396983	0.018264655	2.275	2.383333333
T000069	0.138213554	0.347986367	2.065	2.243333333
T000070	0.244249476	0.2676898	1.715	1.946666667
T000071	0.6645497	0.694474383	1.715	1.946666667
T000072	0.477228956	0.428230876	1.715	1.946666667
T000074	0.6869697	0.7040489	1.69	1.93
T000076	0.166437481	0.171221887	1.69	1.753333333
T000078	0.917291695	0.736011743	1.69	1.753333333
T000080	1.100338646	1.187648462	1.48	1.613333333
T000081	0.399044756	0.823870019	1.48	1.583333333
T000082	0.268671564	0.179114376	1.48	1.583333333
T000083	0.248211372	0.352229011	1.4	1.53
T000084	0.103629027	0.069086018	1.19	1.356666667
T000085	1.446680025	1.333883744	1.19	1.356666667
T000086	0.5730809	0.77295135	1.19	1.343333333
T000087	2.399409328	1.627480861	1.235	1.373333333
T000088	0.382724738	0.482548925	0.705	1.02
T000089	0.981138429	1.232948587	0.78	0.84
T000091	0.340765759	0.672689046	0.775	0.836666667
T000092	0.664631391	0.6696901	0.74	0.713333333
T000093	1.174963937	0.783309292	0.74	0.713333333
T000094	2.601424127	1.734282751	0.74	0.713333333
T000096	15.86510066	13.29787266	0.685	0.676666667
T000097	0.396191031	0.513375239	0.645	0.65
T000098	0.191520239	0.12768016	0.645	0.65
T000099	1.412462091	1.16641817	0.645	0.65
T000100	0.185213566	0.177685727	0.645	0.65
T000101	19.24542814	17.96804554	0.625	0.636666667
T000102	1.765383697	1.910605982	0.625	0.636666667
T000104	0.208855992	0.229622328	0.64	0.646666667
T000108	1.805164488	2.335024567	0.64	0.646666667
T000109	2.365878178	1.577252119	0.565	0.596666667
T000110	0.815994688	0.543996459	0.565	0.596666667
T000111	0.329916845	0.266821081	0.565	0.596666667
T000114	1.146871643	2.133842154	0.5	0.573333333
T000115	3.190358897	2.764557744	0.5	0.573333333
T000116	0.73746192	0.769799493	0.5	0.573333333
T000118	0.198406247	0.237375411	0.5	0.573333333
T000126	0.570125574	0.592975885	0.565	0.626666667
T000127	3.134025973	2.532586858	0.545	0.623333333
T000128	1.242168668	1.842972194	0.49	0.586666667
T000129	1.613547382	1.335650116	0.49	0.586666667
T000130	6.816944802	4.544629868	0.63	0.68
T000131	0	0	0.63	0.68
T000132	0.932097057	0.621398038	0.49	0.586666667
T000133	5.442010379	4.456015004	0.705	0.73
T000134	0.857124113	1.047461458	0.705	0.73
T000135	0.537078087	0.416164558	0.705	0.726666667
T000137	0.56915015	0.696833574	0.205	0.383333333
T000138	3.399070338	2.266046892	0.205	0.383333333
T000139	1.617149676	1.694942236	0.2	0.38
T000143	0.172832032	0.290934372	0.205	0.393333333
T000144	0.429869426	0.286579618	0.205	0.393333333
T000145	7.189648822	10.22811935	0.41	0.53
T000146	0.248654838	0.450571305	0.41	0.53
T000147	0.699308117	0.782910931	0.225	0.52
T000148	1.730482057	1.796943491	0.225	0.52
T000149	4.290167042	2.973809791	0.24	0.633333333
T000150	1.674439886	2.45353	0.24	0.633333333
T000152	0.090580648	0.072511397	0.25	0.64
T000154	0.654008616	0.436005744	0.32	0.56
T000155	1.988547023	1.325698015	0.32	0.56
T000158	0.553256448	0.576471427	0.315	0.556666667
T000159	0.749626218	0.856467504	0.315	0.556666667
T000162	0.521137569	0.444476359	0.38	0.493333333
T000164	0.384688167	0.256458778	0.49	0.546666667
T000165	0.900587993	1.155297689	0.49	0.546666667
T000166	4.438932626	3.099353936	0.49	0.37
T000167	0.685316047	0.860336592	0.49	0.386666667
T000168	1.597746303	1.065164202	0.49	0.386666667
T000169	0.41428205	0.65957115	0.485	0.383333333
T000171	0.405704227	0.492704589	0.485	0.383333333
T000172	0.56492697	0.491634381	0.485	0.383333333
T000173	0.07122785	0.0587313	0.51	0.4
T000174	1.88806421	1.258709473	0.51	0.4
T000176	3.766859465	3.333775134	0.51	0.4
T000177	0.227010698	0.436885051	0.535	0.356666667
T000178	1.503804489	1.835627348	0.535	0.416666667
T000180	0.477586421	0.435363641	0.52	0.4
T000181	0.096766983	0.064511322	0.52	0.4
T000182	1.076955387	0.801607467	0.52	0.4
T000183	0.03775604	0.025170693	0.52	0.4
T000184	1.556084825	1.775354755	0.52	0.4
T000185	1.899549227	1.266366151	0.52	0.39
T000186	0.539046471	0.391374788	0.52	0.39
T000187	1.498982893	1.632579925	0.49	0.37
T000188	2.876558376	2.798246184	0.49	0.37
T000190	0.674302693	0.449535129	0.49	0.37
T000192	0.110553167	0.088486883	0.595	0.45
T000193	0.755512814	0.690092605	0.79	0.58
T000195	0.537787394	0.371400831	0.8	0.596666667
T000197	1.108773744	1.120129422	0.105	0.133333333
T000198	0.52477411	1.059839457	0.105	0.133333333
T000199	0.870753038	0.942679317	0.105	0.133333333
T000200	0.349960213	0.792478942	0.125	0.146666667
T000204	0.853075424	0.623656359	0.15	0.176666667
T000205	1.705696313	1.464069183	0.15	0.176666667
T000206	0.833559687	0.7100427	0.15	0.176666667
T000207	0.551327922	0.683163241	0.15	0.176666667
T000209	0	2.654990028	0.195	0.206666667
T000210	1.389129165	0.92608611	0.195	0.203333333
T000212	0	0	0.195	0.203333333
T000213	0.005296613	0.415857658	0	0
T000215	2.736848466	2.360655661	0	0
T000217	0.519109737	0.346073158	0.235	0.213333333
T000218	0.416643092	0.898245012	0.235	0.21
T000220	1.900877383	1.893842222	0.2	0.186666667
T000221	0.814822053	0.57622152	0.2	0.186666667
T000223	0.3451156	0.230077067	0.18	0.17
T000224	0.69782914	0.957163333	0.18	0.17
T000226	0.817224835	0.698391231	0.18	0.17
T000229	3.731467138	3.500810725	0.175	0.166666667
T000230	0.080707905	0.105838745	0.175	0.166666667
T000231	0.349898425	1.172687933	0.175	0.166666667
T000232	0.832912195	0.684772502	0.175	0.223333333
T000233	0.132864788	0.088576525	0.175	0.223333333
T000236	0.467564314	0.486560432	0.18	0.226666667
T000238	0.291973591	0.234670856	0.18	0.226666667
T000239	0.657423117	0.869081588	0.18	0.226666667
T000240	1.995576344	1.451014908	0.18	0.226666667
T000241	0.560379139	0.373586093	0.18	0.226666667
T000245	3.385106111	7.284390741	0.18	0.226666667
T000249	1.492799871	1.008967646	0.315	0.316666667
T000251	1.133512317	0.952410764	0.335	0.33
T000252	0.099908516	0.066605677	0.335	0.33
T000253	1.914557332	2.068393466	0.36	0.346666667
T000256	1.58631813	1.506314946	0.36	0.346666667
T000257	0.769157095	0.58091808	0.36	0.346666667
T000259	0.75356	0.503162657	0.285	0.216666667
T000260	0.749061558	0.858208928	0.285	0.216666667
T000261	0.611732731	0.631837423	0.295	0.223333333
T000265	0.793159154	1.683352283	0.325	0.216666667
T000269	0.483263915	0.388069767	0.34	0.226666667
T000270	0.125664913	0.085107323	0.34	0.226666667
T000271	0.981493237	0.819787575	0.34	0.226666667
T000272	2.447839335	2.030354007	0.34	0.226666667
T000273	1.537638058	1.673918087	0.34	0.226666667
T000275	0.739921421	0.623768163	0.34	0.226666667
T000276	0.36676899	0.257189759	0.325	0.216666667
T000278	0.900892244	0.892791912	0.325	0.216666667
T000279	1.809035374	1.776953234	0.55	0.366666667
T000280	0.4062889	0.464949033	0.55	0.366666667
T000281	0.840565865	0.576798296	0.55	0.366666667
T000283	0.260985374	0.182489809	0.16	0.106666667
T000284	0.510330187	0.340220125	0.16	0.106666667
T000285	0.697023609	2.17148061	0.16	0.106666667
T000286	0.765002615	3.877805855	0.11	0.073333333
T000287	0.007591771	0.005061181	0.11	0.073333333
T000288	0.296714202	0.520750216	0.09	0.06
T000289	0.88248712	0.861770208	0.09	0.06
T000290	1.967821089	1.311880726	0.09	0.06
T000291	0.171587959	0.114391973	0.09	0.06
T000292	1.982496739	1.388332319	0.09	0.06
T000293	0.956562238	0.637708158	0.09	0.06
T000294	0.699140139	0.466093426	0.09	0.06
T000296	4.014594398	4.392620543	0.075	0.05
T000297	0.640980611	0.427320407	0.075	0.05
T000298	0.607652618	0.995295561	0.075	0.05
T000299	0.904243653	0.602829102	0.075	0.05
T000301	0.278558083	0.820405681	0.075	0.05
T000302	1.245246947	2.817882253	0.065	0.043333333
T000303	0	1.297440637	0.065	0.043333333
T000304	0.458280673	0.578788429	0.065	0.043333333
T000306	0.621113023	0.414075348	0.065	0.043333333
T000307	2.295408295	1.530272197	0.035	0.023333333
T000308	0.156087494	0.104058329	0.035	0.023333333
T000309	1.655877418	1.607067468	0.035	0.023333333
