TriadID	loadAABB	loadAABBDD	recombinationAABB	recombinationAABBDD
T000002	0.456788365	0.308610567	1.01	0.673333333
T000003	0.4328725	0.288581667	1.01	0.673333333
T000004	0.516059425	0.557011067	1.01	0.673333333
T000005	1.80044626	1.452033553	1.01	0.673333333
T000006	0.526750415	0.553903623	1.01	0.673333333
T000007	0.172994785	0.13851698	1.01	0.673333333
T000008	0.183860845	0.23227646	1.01	0.673333333
T000010	0.163266734	0.114107027	1.115	1.443333333
T000012	1.612723645	1.85306218	1.01	0.673333333
T000013	0.55661082	0.545530867	1.01	0.673333333
T000014	0.271922455	0.26953405	1.01	0.673333333
T000015	0.270045845	0.336851907	1.01	0.673333333
T000017	1.66361806	1.179980013	1.01	0.673333333
T000020	0.441981866	0.604644896	1.01	0.673333333
T000023	1.530141769	1.865972285	1.105	0.736666667
T000025	0.98717428	0.9498895	1.095	0.73
T000028	1.418187955	1.700833263	1.095	1.523333333
T000029	0.240987065	0.213208307	1.095	1.523333333
T000032	0.591616906	0.589509976	0.89	1.386666667
T000033	0.64615137	0.719108483	0.89	1.386666667
T000034	1.02581806	0.683878707	0.89	1.386666667
T000035	0.9364727	1.14666413	1.055	1.496666667
T000037	0.521944865	0.437297541	0.79	1.32
T000041	0.773597787	0.621206396	0.97	1.403333333
T000042	1.904225335	1.70386404	0.97	1.403333333
T000045	0.40456967	0.566957477	0.87	1.336666667
T000046	0.219083775	0.271052157	0.87	1.336666667
T000047	0	0	0.87	1.336666667
T000048	0.573852595	0.789381087	0.87	1.336666667
T000050	4.560964623	4.24772215	0.915	1.396666667
T000051	1.860350865	1.628316117	0.915	1.396666667
T000052	0.434979625	0.521349543	0.915	1.396666667
T000055	1.877226855	1.37249352	1.125	2.473333333
T000056	0.242389705	0.35865601	1.125	2.473333333
T000057	0.195249325	0.137246307	1.125	2.473333333
T000058	0.265848058	0.386747565	2.43	2.486666667
T000059	1.609969685	1.88440411	2.275	2.383333333
T000060	0.31548585	0.253470037	2.275	2.383333333
T000061	0.08533029	0.36389753	2.275	2.383333333
T000062	0.75831926	0.635057097	2.275	2.383333333
T000063	0.47507782	0.584411937	2.275	2.383333333
T000065	0.831635345	0.773208817	2.275	2.383333333
T000066	0.107805385	0.09215004	2.275	2.383333333
T000069	0.07511862	0.296538823	2.065	2.243333333
T000070	0.25451918	0.216290117	1.715	1.946666667
T000071	0.62209746	0.653973166	1.715	1.946666667
T000072	0.48647962	0.3585327	1.715	1.946666667
T000074	0.728146777	0.690113481	1.69	1.93
T000076	0.156565605	0.23966829	1.69	1.753333333
T000078	0.987067974	0.836293543	1.69	1.753333333
T000080	1.298770918	1.168309087	1.48	1.613333333
T000081	0.429008627	0.8927827	1.48	1.583333333
T000082	0.2374982	0.24575914	1.48	1.583333333
T000083	0.226328495	0.368977327	1.4	1.53
T000084	0.155450275	0.103633517	1.19	1.356666667
T000085	1.44482399	1.347173933	1.19	1.356666667
T000086	0.583457515	0.63435383	1.19	1.343333333
T000087	1.65749442	1.545956481	1.235	1.373333333
T000088	0.36456753	0.57086403	0.705	1.02
T000089	0.723519555	1.045137467	0.78	0.84
T000091	0.395556702	0.500786935	0.775	0.836666667
T000092	0.71361508	0.540458417	0.74	0.713333333
T000093	1.1278039	0.7783603	0.74	0.713333333
T000094	2.322198595	1.548132397	0.74	0.713333333
T000096	13.98194688	12.57444664	0.685	0.676666667
T000097	0.424202479	0.752460201	0.645	0.65
T000098	0.195925032	0.130616688	0.645	0.65
T000099	1.413655805	1.103172016	0.645	0.65
T000100	0.19052015	0.2097415	0.645	0.65
T000101	18.12736585	25.5943227	0.625	0.636666667
T000102	1.73460877	1.892103717	0.625	0.636666667
T000104	0.26777094	0.260659953	0.64	0.646666667
