IntrogressionID	PGI	P3	Sub	GroupBySubspecies	GroupBySubcontinent
CL001	0.053902948580502597	AT	D	Cultivar	Cultivar
CL001	0.08570318967600735	DE	A	Cultivar	Cultivar
CL001	0.09646757877388949	DE	B	Cultivar	Cultivar
CL001	0.0898423469551415	FT	A	Cultivar	Cultivar
CL001	0.0788003341235372	FT	B	Cultivar	Cultivar
CL001	0.05720067003647982	WE	A	Cultivar	Cultivar
CL001	0.05907636338669173	WE	B	Cultivar	Cultivar
CL002	0.051861102043417	AT	D	Cultivar	Cultivar
CL002	0.08698488240885097	DE	A	Cultivar	Cultivar
CL002	0.10469340034342427	DE	B	Cultivar	Cultivar
CL002	0.07234829282468627	FT	A	Cultivar	Cultivar
CL002	0.10459321014422503	FT	B	Cultivar	Cultivar
CL002	0.08193196795483534	WE	A	Cultivar	Cultivar
CL002	0.04953387542167177	WE	B	Cultivar	Cultivar
CL003	0.04781303984797601	AT	D	Cultivar	Cultivar
CL003	0.08381225140781816	DE	A	Cultivar	Cultivar
CL003	0.10012187024357207	DE	B	Cultivar	Cultivar
CL003	0.11025808067029204	FT	A	Cultivar	Cultivar
CL003	0.09127597385448895	FT	B	Cultivar	Cultivar
CL003	0.052909600100412	WE	A	Cultivar	Cultivar
CL003	0.04856778842864871	WE	B	Cultivar	Cultivar
CL004	0.05081943762962391	AT	D	Cultivar	Cultivar
CL004	0.08235207395760705	DE	A	Cultivar	Cultivar
CL004	0.097993017387542	DE	B	Cultivar	Cultivar
CL004	0.10414887614813752	FT	A	Cultivar	Cultivar
CL004	0.08457007547981409	FT	B	Cultivar	Cultivar
CL004	0.05715023421204882	WE	A	Cultivar	Cultivar
CL004	0.04774567181619825	WE	B	Cultivar	Cultivar
CL005	0.05000464908175654	AT	D	Cultivar	Cultivar
CL005	0.08729593804476814	DE	A	Cultivar	Cultivar
CL005	0.10539307893526588	DE	B	Cultivar	Cultivar
CL005	0.10530881548146982	FT	A	Cultivar	Cultivar
CL005	0.09215989581837243	FT	B	Cultivar	Cultivar
CL005	0.05330680955898258	WE	A	Cultivar	Cultivar
