Chr	Start	End	Value
1A	0	10000000	1.6878048780487804
1A	1000000	11000000	1.6969767441860466
1A	2000000	12000000	1.7482499999999999
1A	3000000	13000000	1.7861702127659576
1A	4000000	14000000	1.7667391304347826
1A	5000000	15000000	1.7223076923076923
1A	6000000	16000000	1.6877777777777778
1A	7000000	17000000	1.6630909090909092
1A	8000000	18000000	1.6634
1A	9000000	19000000	1.6393478260869565
1A	10000000	20000000	1.587948717948718
1A	11000000	21000000	1.4378260869565216
1A	12000000	22000000	1.3244444444444445
1A	13000000	23000000	1.0977272727272727
1A	14000000	24000000	1.0245833333333334
1A	15000000	25000000	0.9584090909090909
1A	16000000	26000000	0.845
1A	17000000	27000000	0.7817777777777776
1A	18000000	28000000	0.7514285714285714
1A	19000000	29000000	0.6885714285714286
1A	20000000	30000000	0.6569230769230769
1A	21000000	31000000	0.5827272727272728
1A	22000000	32000000	0.5862222222222222
1A	23000000	33000000	0.5766666666666667
1A	24000000	34000000	0.5426315789473685
1A	25000000	35000000	0.5194594594594595
1A	26000000	36000000	0.6177142857142857
1A	27000000	37000000	0.6861904761904762
1A	28000000	38000000	0.7225641025641026
1A	29000000	39000000	0.8039473684210527
1A	30000000	40000000	0.7554054054054055
1A	31000000	41000000	0.7235135135135136
1A	32000000	42000000	0.6043589743589745
1A	33000000	43000000	0.5017948717948717
1A	34000000	44000000	0.4677142857142856
1A	35000000	45000000	0.43823529411764695
1A	36000000	46000000	0.4072727272727273
1A	37000000	47000000	0.2707692307692307
1A	38000000	48000000	0.2542857142857142
1A	39000000	49000000	0.16290322580645158
1A	40000000	50000000	0.23710526315789468
1A	41000000	51000000	0.25027777777777777
1A	42000000	52000000	0.30033333333333334
1A	43000000	53000000	0.38285714285714284
1A	44000000	54000000	0.4194117647058823
1A	45000000	55000000	0.4294594594594594
1A	46000000	56000000	0.4271428571428571
1A	47000000	57000000	0.4197222222222222
1A	48000000	58000000	0.412
1A	49000000	59000000	0.4013953488372093
1A	50000000	60000000	0.4041176470588235
1A	51000000	61000000	0.37538461538461537
1A	52000000	62000000	0.36142857142857143
1A	53000000	63000000	0.3193333333333333
1A	54000000	64000000	0.26395348837209304
1A	55000000	65000000	0.22953488372093023
1A	56000000	66000000	0.2112244897959184
1A	57000000	67000000	0.19812500000000002
1A	58000000	68000000	0.1631818181818182
1A	59000000	69000000	0.12027777777777776
1A	60000000	70000000	0.10756756756756757
1A	61000000	71000000	0.088
1A	62000000	72000000	0.0668421052631579
1A	63000000	73000000	0.051818181818181826
1A	64000000	74000000	0.047714285714285716
1A	65000000	75000000	0.0471875
1A	66000000	76000000	0.04111111111111111
1A	67000000	77000000	0.043928571428571435
1A	68000000	78000000	0.04928571428571429
1A	69000000	79000000	0.04655172413793104
1A	70000000	80000000	0.04344827586206897
1A	71000000	81000000	0.043448275862068966
1A	72000000	82000000	0.05478260869565218
1A	73000000	83000000	0.0476
1A	74000000	84000000	0.043000000000000003
1A	75000000	85000000	0.05478260869565218
1A	76000000	86000000	0.0664
1A	77000000	87000000	0.07166666666666667
1A	78000000	88000000	0.0743478260869565
1A	79000000	89000000	0.08142857142857145
1A	80000000	90000000	0.09947368421052633
1A	81000000	91000000	0.12166666666666666
1A	82000000	92000000	0.133
1A	83000000	93000000	0.1425
1A	84000000	94000000	0.12387096774193548
1A	85000000	95000000	0.11066666666666665
1A	86000000	96000000	0.08875
1A	87000000	97000000	0.06864864864864866
1A	88000000	98000000	0.06333333333333332
1A	89000000	99000000	0.058461538461538474
1A	90000000	100000000	0.043750000000000004
1A	91000000	101000000	0.03529411764705881
1A	92000000	102000000	0.0
1A	93000000	103000000	0.0
1A	94000000	104000000	0.0
1A	95000000	105000000	0.0
1A	96000000	106000000	0.0
1A	97000000	107000000	0.0014999999999999992
1A	98000000	108000000	0.0032558139534883735
1A	99000000	109000000	0.005652173913043474
1A	100000000	110000000	0.007567567567567563
1A	101000000	111000000	0.00909090909090909
1A	102000000	112000000	0.009999999999999998
1A	103000000	113000000	0.012499999999999999
1A	104000000	114000000	0.014117647058823526
1A	105000000	115000000	0.019285714285714285
1A	106000000	116000000	0.02
1A	107000000	117000000	0.018666666666666668
1A	108000000	118000000	0.015483870967741937
1A	109000000	119000000	0.013333333333333334
1A	110000000	120000000	0.010967741935483872
1A	111000000	121000000	0.01
1A	112000000	122000000	0.00967741935483871
1A	113000000	123000000	0.008148148148148146
1A	114000000	124000000	0.005833333333333334
1A	115000000	125000000	0.002962962962962962
1A	116000000	126000000	0.0
1A	117000000	127000000	0.0
1A	118000000	128000000	0.0
1A	119000000	129000000	0.0
1A	120000000	130000000	0.0
1A	121000000	131000000	0.0
1A	122000000	132000000	0.0
1A	123000000	133000000	0.0
1A	124000000	134000000	0.0
1A	125000000	135000000	0.0
1A	126000000	136000000	0.0
1A	127000000	137000000	0.0
1A	128000000	138000000	0.0
1A	129000000	139000000	0.0
1A	130000000	140000000	0.0
1A	131000000	141000000	0.0
1A	132000000	142000000	0.0
1A	133000000	143000000	0.0
1A	134000000	144000000	0.0
1A	135000000	145000000	0.0
1A	136000000	146000000	0.0
1A	137000000	147000000	0.0
1A	138000000	148000000	0.0
1A	139000000	149000000	0.0
1A	140000000	150000000	0.0
1A	141000000	151000000	0.0
1A	142000000	152000000	0.0
1A	143000000	153000000	0.0
1A	144000000	154000000	0.0
1A	145000000	155000000	0.0
1A	146000000	156000000	0.0
1A	147000000	157000000	0.0
1A	148000000	158000000	0.0
1A	149000000	159000000	0.0
1A	150000000	160000000	0.0
1A	151000000	161000000	0.0
1A	152000000	162000000	0.0
1A	153000000	163000000	0.0
1A	154000000	164000000	0.0
1A	155000000	165000000	0.0
