Chr	Start	End	Value
1A	0	10000000	1.6826666666666668
1A	1000000	11000000	1.6894117647058824
1A	2000000	12000000	1.697741935483871
1A	3000000	13000000	1.697741935483871
1A	4000000	14000000	1.697
1A	5000000	15000000	1.7510344827586206
1A	6000000	16000000	1.8048571428571427
1A	7000000	17000000	1.7289473684210526
1A	8000000	18000000	1.6867391304347825
1A	9000000	19000000	1.6742857142857142
1A	10000000	20000000	1.675142857142857
1A	11000000	21000000	1.616764705882353
1A	12000000	22000000	1.5796774193548386
1A	13000000	23000000	1.5687499999999999
1A	14000000	24000000	1.58
1A	15000000	25000000	1.4863636363636363
1A	16000000	26000000	1.3111111111111111
1A	17000000	27000000	1.2974074074074073
1A	18000000	28000000	1.1942857142857142
1A	19000000	29000000	1.0852
1A	20000000	30000000	1.0708333333333333
1A	21000000	31000000	1.0804347826086955
1A	22000000	32000000	1.0736363636363637
1A	23000000	33000000	1.0661904761904761
1A	24000000	34000000	0.9804166666666666
1A	25000000	35000000	0.9381818181818182
1A	26000000	36000000	0.9195238095238095
1A	27000000	37000000	0.9044444444444444
1A	28000000	38000000	0.8935294117647059
1A	29000000	39000000	0.8769230769230769
1A	30000000	40000000	0.8047619047619048
1A	31000000	41000000	0.6568181818181819
1A	32000000	42000000	0.5873076923076923
1A	33000000	43000000	0.5746428571428571
1A	34000000	44000000	0.5318518518518518
1A	35000000	45000000	0.52
1A	36000000	46000000	0.5073076923076923
1A	37000000	47000000	0.49000000000000005
1A	38000000	48000000	0.481
1A	39000000	49000000	0.44535714285714284
1A	40000000	50000000	0.37454545454545457
1A	41000000	51000000	0.4973913043478261
1A	42000000	52000000	0.571
1A	43000000	53000000	0.61
1A	44000000	54000000	0.6690476190476191
1A	45000000	55000000	0.6909090909090909
1A	46000000	56000000	0.6909090909090909
1A	47000000	57000000	0.7488888888888889
1A	48000000	58000000	0.7746666666666667
1A	49000000	59000000	0.836875
1A	50000000	60000000	0.7911764705882354
1A	51000000	61000000	0.740625
1A	52000000	62000000	0.6361111111111111
1A	53000000	63000000	0.5756756756756756
1A	54000000	64000000	0.4927027027027027
1A	55000000	65000000	0.47514285714285714
1A	56000000	66000000	0.474864864864865
1A	57000000	67000000	0.38612903225806444
1A	58000000	68000000	0.30250000000000005
1A	59000000	69000000	0.19793103448275862
1A	60000000	70000000	0.1932142857142857
1A	61000000	71000000	0.23258064516129034
1A	62000000	72000000	0.2773076923076923
1A	63000000	73000000	0.3172
1A	64000000	74000000	0.37142857142857144
1A	65000000	75000000	0.3704347826086956
1A	66000000	76000000	0.3609523809523809
1A	67000000	77000000	0.3568421052631579
1A	68000000	78000000	0.35624999999999996
1A	69000000	79000000	0.35833333333333334
1A	70000000	80000000	0.36
1A	71000000	81000000	0.36
1A	72000000	82000000	0.36
1A	73000000	83000000	0.36
1A	74000000	84000000	0.43
1A	75000000	85000000	0.57
1A	76000000	86000000	0.58
1A	77000000	87000000	0.58
1A	78000000	88000000	0.582
1A	79000000	89000000	0.5833333333333333
1A	80000000	90000000	0.5833333333333333
1A	81000000	91000000	0.5
1A	82000000	92000000	0.49538461538461537
1A	83000000	93000000	0.472
1A	84000000	94000000	0.44875
1A	85000000	95000000	0.40652173913043477
1A	86000000	96000000	0.3804166666666667
1A	87000000	97000000	0.3717857142857143
1A	88000000	98000000	0.3637037037037037
1A	89000000	99000000	0.34535714285714286
1A	90000000	100000000	0.3246875
1A	91000000	101000000	0.2906896551724138
1A	92000000	102000000	0.269375
1A	93000000	103000000	0.266
1A	94000000	104000000	0.26107142857142857
1A	95000000	105000000	0.20807692307692308
