TriadID	Chr	Pos	RecombinationRate
T000001	1A	239435	1.72
T000001	6B	111691197	0.06
T000001	7D	74092118	0.32
T000002	1A	1161012	1.72
T000002	1B	1205398	0.3
T000002	1D	2078877	0
T000003	1A	1165682	1.72
T000003	1B	1210889	0.3
T000003	1D	2083031	0
T000004	1A	1173870	1.72
T000004	1B	1252297	0.3
T000004	1D	2091244	0
T000005	1A	1189854	1.72
T000005	1B	1259741	0.3
T000005	1D	2102493	0
T000006	1A	1211267	1.72
T000006	1B	1420741	0.3
T000006	1D	2114526	0
T000007	1A	1235412	1.72
T000007	1B	1433214	0.3
T000007	1D	2142309	0
T000008	1A	1342584	1.72
T000008	1B	1528666	0.3
T000008	1D	2224660	0
T000009	1A	2540725	1.72
T000009	1B	3657009	0.3
T000009	1D	907033	0
T000010	1A	2984448	1.72
T000010	1B	687787328	0.51
T000010	1D	494548773	2.1
T000012	1A	3120827	1.72
T000012	1B	4223858	0.3
T000012	1D	513600	0
T000013	1A	3259098	1.72
T000013	1B	4323711	0.3
T000013	1D	551403	0
T000014	1A	3380769	1.72
T000014	1B	4341601	0.3
T000014	1D	571748	0
T000015	1A	3389048	1.72
T000015	1B	4348969	0.3
T000015	1D	581014	0
T000016	1A	3776789	1.72
T000016	1B	5004341	0.3
T000016	1D	340324	0
T000017	1A	4047199	1.72
T000017	1B	5158726	0.3
T000017	1D	217975	0
T000020	1A	5493070	1.72
T000020	1B	6475807	0.3
T000020	1D	3963354	0
T000022	1A	6572895	1.68
T000022	1B	17813851	1.95
T000022	1D	5408193	0
T000023	1A	6762505	1.68
T000023	1B	8183770	0.53
T000023	1D	5455984	0
T000025	1A	7186002	1.66
T000025	1B	8256374	0.53
T000025	1D	5518973	0
T000027	1A	7526150	1.66
T000027	1B	8395708	0.53
T000027	1D	6280733	2.38
T000028	1A	7652794	1.66
T000028	1B	8697424	0.53
T000028	1D	6326892	2.38
T000029	1A	7663572	1.66
T000029	1B	8670460	0.53
T000029	1D	6338729	2.38
T000030	1A	7685409	1.66
T000030	1B	8710639	0.53
T000030	1D	6367022	2.38
T000031	1A	8143230	1.58
T000031	4B	36634584	0.09
T000031	1D	6713189	2.38
T000032	1A	8158601	1.58
T000032	1B	9163056	0.2
T000032	1D	6720235	2.38
T000033	1A	8242148	1.58
T000033	1B	9078347	0.2
T000033	1D	6769375	2.38
T000034	1A	8249244	1.58
T000034	1B	9071293	0.2
T000034	1D	6776357	2.38
T000035	1A	8265254	1.58
T000035	1B	8947482	0.53
T000035	1D	6779428	2.38
T000036	1A	8321641	1.58
T000036	1B	9270475	0.2
T000036	1D	6865217	2.38
T000037	1A	8327757	1.58
T000037	5B	549549289	0
T000037	1D	6899763	2.38
T000038	1A	8717245	1.58
T000038	1B	9562974	0.2
T000038	1D	7600947	2.27
T000039	1A	9091288	1.74
T000039	1B	58932164	0.19
T000039	1D	39790797	0.19
