Chr	Start	End	Value
1A	0	10000000	1.7331818181818182
1A	1000000	11000000	1.723
1A	2000000	12000000	1.6607017543859648
1A	3000000	13000000	1.639811320754717
1A	4000000	14000000	1.6269090909090909
1A	5000000	15000000	1.6084210526315788
1A	6000000	16000000	1.5828070175438596
1A	7000000	17000000	1.5618750000000001
1A	8000000	18000000	1.478695652173913
1A	9000000	19000000	1.3791836734693876
1A	10000000	20000000	1.279019607843137
1A	11000000	21000000	1.0965116279069766
1A	12000000	22000000	1.061578947368421
1A	13000000	23000000	1.0034883720930232
1A	14000000	24000000	0.9721951219512195
1A	15000000	25000000	0.874090909090909
1A	16000000	26000000	0.7765217391304349
1A	17000000	27000000	0.7410869565217392
1A	18000000	28000000	0.660909090909091
1A	19000000	29000000	0.5926190476190476
1A	20000000	30000000	0.5537837837837838
1A	21000000	31000000	0.5221212121212121
1A	22000000	32000000	0.5037499999999999
1A	23000000	33000000	0.4084615384615385
1A	24000000	34000000	0.4292857142857144
1A	25000000	35000000	0.5435714285714286
1A	26000000	36000000	0.64
1A	27000000	37000000	0.6889655172413793
1A	28000000	38000000	0.743125
1A	29000000	39000000	0.832
1A	30000000	40000000	0.8512121212121212
1A	31000000	41000000	0.763888888888889
1A	32000000	42000000	0.6407142857142858
1A	33000000	43000000	0.6026190476190476
1A	34000000	44000000	0.5587804878048781
1A	35000000	45000000	0.5145945945945946
1A	36000000	46000000	0.4975000000000001
1A	37000000	47000000	0.4357575757575758
1A	38000000	48000000	0.33928571428571425
1A	39000000	49000000	0.2493333333333333
1A	40000000	50000000	0.19666666666666663
1A	41000000	51000000	0.25027777777777777
1A	42000000	52000000	0.31068965517241376
1A	43000000	53000000	0.35000000000000003
1A	44000000	54000000	0.40354838709677415
1A	45000000	55000000	0.42375
1A	46000000	56000000	0.4125
1A	47000000	57000000	0.4115151515151515
1A	48000000	58000000	0.4064705882352941
1A	49000000	59000000	0.4045714285714286
1A	50000000	60000000	0.39914285714285713
1A	51000000	61000000	0.3978125
1A	52000000	62000000	0.38735294117647057
1A	53000000	63000000	0.34500000000000003
1A	54000000	64000000	0.2755555555555555
1A	55000000	65000000	0.25795454545454544
1A	56000000	66000000	0.2415
1A	57000000	67000000	0.21395833333333333
1A	58000000	68000000	0.201063829787234
1A	59000000	69000000	0.17325581395348838
1A	60000000	70000000	0.1325581395348837
1A	61000000	71000000	0.10045454545454544
1A	62000000	72000000	0.09045454545454543
